price,quantity,type,timestamp
4738000,0.1982,0,2024-04-29 00:00:00
4737000,0.2077,0,2024-04-29 00:00:00
4735000,0.0106,0,2024-04-29 00:00:00
4734000,1.3524,0,2024-04-29 00:00:00
4733000,0.6649,0,2024-04-29 00:00:00
4739000,2.7554,1,2024-04-29 00:00:00
4740000,8.2145,1,2024-04-29 00:00:00
4741000,0.2077,1,2024-04-29 00:00:00
4742000,6.6129,1,2024-04-29 00:00:00
4743000,4.8557,1,2024-04-29 00:00:00
4738000,0.1982,0,2024-04-29 00:00:05
4737000,0.2077,0,2024-04-29 00:00:05
4735000,1.2821,0,2024-04-29 00:00:05
4734000,18.6487,0,2024-04-29 00:00:05
4733000,0.6649,0,2024-04-29 00:00:05
4739000,3.5494,1,2024-04-29 00:00:05
4740000,8.0044,1,2024-04-29 00:00:05
4742000,21.6129,1,2024-04-29 00:00:05
4743000,4.1022,1,2024-04-29 00:00:05
4744000,10.6678,1,2024-04-29 00:00:05
4737000,0.2077,0,2024-04-29 00:00:10
4735000,2.1185,0,2024-04-29 00:00:10
4734000,4.9202,0,2024-04-29 00:00:10
4733000,15.6649,0,2024-04-29 00:00:10
4732000,4.56,0,2024-04-29 00:00:10
4738000,4.4257,1,2024-04-29 00:00:10
4740000,11.5644,1,2024-04-29 00:00:10
4741000,0.1022,1,2024-04-29 00:00:10
4742000,24.5903,1,2024-04-29 00:00:10
4743000,4.4298,1,2024-04-29 00:00:10
4736000,1.2422,0,2024-04-29 00:00:15
4735000,3.5706,0,2024-04-29 00:00:15
4734000,1.351,0,2024-04-29 00:00:15
4733000,15.6649,0,2024-04-29 00:00:15
4732000,4.896,0,2024-04-29 00:00:15
4737000,2.6317,1,2024-04-29 00:00:15
4740000,11.5655,1,2024-04-29 00:00:15
4741000,0.1022,1,2024-04-29 00:00:15
4742000,11.9429,1,2024-04-29 00:00:15
4743000,20.637,1,2024-04-29 00:00:15
4736000,1.2422,0,2024-04-29 00:00:20
4735000,3.5706,0,2024-04-29 00:00:20
4734000,1.351,0,2024-04-29 00:00:20
4733000,16.0007,0,2024-04-29 00:00:20
4732000,4.56,0,2024-04-29 00:00:20
4737000,0.565,1,2024-04-29 00:00:20
4740000,11.5655,1,2024-04-29 00:00:20
4741000,0.1032,1,2024-04-29 00:00:20
4742000,11.9429,1,2024-04-29 00:00:20
4743000,20.637,1,2024-04-29 00:00:20
4736000,1.2422,0,2024-04-29 00:00:25
4735000,3.5706,0,2024-04-29 00:00:25
4734000,1.351,0,2024-04-29 00:00:25
4733000,16.0007,0,2024-04-29 00:00:25
4732000,4.56,0,2024-04-29 00:00:25
4737000,0.6228,1,2024-04-29 00:00:25
4740000,11.5655,1,2024-04-29 00:00:25
4741000,0.1032,1,2024-04-29 00:00:25
4742000,11.9429,1,2024-04-29 00:00:25
4743000,20.637,1,2024-04-29 00:00:25
4736000,1.2377,0,2024-04-29 00:00:30
4735000,3.5706,0,2024-04-29 00:00:30
4734000,1.6869,0,2024-04-29 00:00:30
4733000,15.6649,0,2024-04-29 00:00:30
4732000,4.56,0,2024-04-29 00:00:30
4737000,0.5845,1,2024-04-29 00:00:30
4739000,3.56,1,2024-04-29 00:00:30
4740000,8.0055,1,2024-04-29 00:00:30
4741000,0.1032,1,2024-04-29 00:00:30
4742000,11.9429,1,2024-04-29 00:00:30
4736000,1.2377,0,2024-04-29 00:00:35
4735000,3.5706,0,2024-04-29 00:00:35
4734000,1.351,0,2024-04-29 00:00:35
4733000,16.0008,0,2024-04-29 00:00:35
4732000,4.56,0,2024-04-29 00:00:35
4737000,0.5715,1,2024-04-29 00:00:35
4739000,3.56,1,2024-04-29 00:00:35
4740000,8.0055,1,2024-04-29 00:00:35
4741000,0.1032,1,2024-04-29 00:00:35
4742000,11.9439,1,2024-04-29 00:00:35
4735000,6.9443,0,2024-04-29 00:00:40
4734000,0.4242,0,2024-04-29 00:00:40
4733000,20.2242,0,2024-04-29 00:00:40
4732000,1.0,0,2024-04-29 00:00:40
4731000,1.4176,0,2024-04-29 00:00:40
4736000,1.2306,1,2024-04-29 00:00:40
4737000,0.0,1,2024-04-29 00:00:40
4740000,12.0655,1,2024-04-29 00:00:40
4741000,0.1032,1,2024-04-29 00:00:40
4742000,11.9439,1,2024-04-29 00:00:40
4736000,2.1079,0,2024-04-29 00:00:45
4735000,3.5706,0,2024-04-29 00:00:45
4734000,0.4242,0,2024-04-29 00:00:45
4733000,20.2242,0,2024-04-29 00:00:45
4732000,1.0,0,2024-04-29 00:00:45
4740000,12.0375,1,2024-04-29 00:00:45
4741000,0.1032,1,2024-04-29 00:00:45
4742000,8.9439,1,2024-04-29 00:00:45
4743000,18.4298,1,2024-04-29 00:00:45
4744000,11.538,1,2024-04-29 00:00:45
4736000,2.1079,0,2024-04-29 00:00:50
4735000,3.5706,0,2024-04-29 00:00:50
4734000,0.4242,0,2024-04-29 00:00:50
4733000,20.2242,0,2024-04-29 00:00:50
4732000,1.0,0,2024-04-29 00:00:50
4740000,12.0375,1,2024-04-29 00:00:50
4741000,0.1032,1,2024-04-29 00:00:50
4742000,8.9439,1,2024-04-29 00:00:50
4743000,18.4298,1,2024-04-29 00:00:50
4744000,11.538,1,2024-04-29 00:00:50
4736000,2.0973,0,2024-04-29 00:00:56
4735000,3.5706,0,2024-04-29 00:00:56
4734000,0.4242,0,2024-04-29 00:00:56
4733000,20.2242,0,2024-04-29 00:00:56
4732000,1.0,0,2024-04-29 00:00:56
4740000,12.0375,1,2024-04-29 00:00:56
4741000,0.1032,1,2024-04-29 00:00:56
4742000,8.9439,1,2024-04-29 00:00:56
4743000,18.4298,1,2024-04-29 00:00:56
4744000,11.538,1,2024-04-29 00:00:56
4736000,2.0951,0,2024-04-29 00:01:01
4735000,3.5706,0,2024-04-29 00:01:01
4734000,0.4242,0,2024-04-29 00:01:01
4733000,20.2242,0,2024-04-29 00:01:01
4732000,1.0,0,2024-04-29 00:01:01
4739000,3.0,1,2024-04-29 00:01:01
4740000,12.0375,1,2024-04-29 00:01:01
4741000,0.1032,1,2024-04-29 00:01:01
4742000,3.6139,1,2024-04-29 00:01:01
4743000,18.4298,1,2024-04-29 00:01:01
4736000,16.6852,0,2024-04-29 00:01:06
4735000,3.5706,0,2024-04-29 00:01:06
4734000,1.0887,0,2024-04-29 00:01:06
4733000,5.0172,0,2024-04-29 00:01:06
4732000,6.33,0,2024-04-29 00:01:06
4739000,0.8922,1,2024-04-29 00:01:06
4740000,8.4775,1,2024-04-29 00:01:06
4741000,0.001,1,2024-04-29 00:01:06
4742000,0.0539,1,2024-04-29 00:01:06
4743000,3.56,1,2024-04-29 00:01:06
4738000,3.5458,0,2024-04-29 00:01:11
4737000,4.7822,0,2024-04-29 00:01:11
4736000,15.3356,0,2024-04-29 00:01:11
4735000,3.5706,0,2024-04-29 00:01:11
4734000,1.0887,0,2024-04-29 00:01:11
4740000,7.6573,1,2024-04-29 00:01:11
4741000,0.001,1,2024-04-29 00:01:11
4742000,3.6139,1,2024-04-29 00:01:11
4743000,0.1022,1,2024-04-29 00:01:11
4744000,22.5629,1,2024-04-29 00:01:11
4738000,0.3172,0,2024-04-29 00:01:16
4737000,7.0538,0,2024-04-29 00:01:16
4736000,15.0,0,2024-04-29 00:01:16
4735000,5.1024,0,2024-04-29 00:01:16
4734000,1.0761,0,2024-04-29 00:01:16
4740000,7.6573,1,2024-04-29 00:01:16
4741000,3.561,1,2024-04-29 00:01:16
4742000,0.0539,1,2024-04-29 00:01:16
4743000,0.1022,1,2024-04-29 00:01:16
4744000,22.5609,1,2024-04-29 00:01:16
4738000,2.4251,0,2024-04-29 00:01:21
4737000,2.6003,0,2024-04-29 00:01:21
4736000,19.346,0,2024-04-29 00:01:21
4735000,4.56,0,2024-04-29 00:01:21
4734000,1.0633,0,2024-04-29 00:01:21
4740000,7.6573,1,2024-04-29 00:01:21
4741000,0.001,1,2024-04-29 00:01:21
4742000,0.0539,1,2024-04-29 00:01:21
4743000,0.1022,1,2024-04-29 00:01:21
4744000,4.5609,1,2024-04-29 00:01:21
4738000,2.4251,0,2024-04-29 00:01:26
4737000,6.1603,0,2024-04-29 00:01:26
4736000,20.5523,0,2024-04-29 00:01:26
4735000,1.0,0,2024-04-29 00:01:26
4734000,1.0633,0,2024-04-29 00:01:26
4739000,0.0152,1,2024-04-29 00:01:26
4740000,7.645,1,2024-04-29 00:01:26
4741000,0.001,1,2024-04-29 00:01:26
4742000,0.0539,1,2024-04-29 00:01:26
4743000,3.6622,1,2024-04-29 00:01:26
4738000,2.4251,0,2024-04-29 00:01:31
4737000,6.1603,0,2024-04-29 00:01:31
4736000,20.5523,0,2024-04-29 00:01:31
4735000,1.0,0,2024-04-29 00:01:31
4734000,1.0633,0,2024-04-29 00:01:31
4739000,0.0152,1,2024-04-29 00:01:31
4740000,7.7307,1,2024-04-29 00:01:31
4741000,0.001,1,2024-04-29 00:01:31
4742000,0.0539,1,2024-04-29 00:01:31
4743000,3.6622,1,2024-04-29 00:01:31
4738000,5.8269,0,2024-04-29 00:01:36
4737000,1.3859,0,2024-04-29 00:01:36
4736000,20.5523,0,2024-04-29 00:01:36
4735000,1.0,0,2024-04-29 00:01:36
4734000,1.0633,0,2024-04-29 00:01:36
4740000,7.635,1,2024-04-29 00:01:36
4741000,0.001,1,2024-04-29 00:01:36
4742000,0.0539,1,2024-04-29 00:01:36
4743000,3.6622,1,2024-04-29 00:01:36
4744000,1.0009,1,2024-04-29 00:01:36
4738000,5.8269,0,2024-04-29 00:01:41
4737000,1.7213,0,2024-04-29 00:01:41
4736000,19.0106,0,2024-04-29 00:01:41
4735000,1.0,0,2024-04-29 00:01:41
4734000,1.0633,0,2024-04-29 00:01:41
4740000,7.635,1,2024-04-29 00:01:41
4741000,0.001,1,2024-04-29 00:01:41
4742000,0.0539,1,2024-04-29 00:01:41
4743000,3.6622,1,2024-04-29 00:01:41
4744000,1.0009,1,2024-04-29 00:01:41
4738000,5.829,0,2024-04-29 00:01:46
4737000,1.3859,0,2024-04-29 00:01:46
4736000,19.3463,0,2024-04-29 00:01:46
4735000,2.2063,0,2024-04-29 00:01:46
4734000,1.0633,0,2024-04-29 00:01:46
4740000,7.6327,1,2024-04-29 00:01:46
4741000,0.001,1,2024-04-29 00:01:46
4742000,3.6139,1,2024-04-29 00:01:46
4743000,0.1022,1,2024-04-29 00:01:46
4744000,1.0009,1,2024-04-29 00:01:46
4738000,0.1611,0,2024-04-29 00:01:51
4737000,5.6683,0,2024-04-29 00:01:51
4736000,0.4506,0,2024-04-29 00:01:51
4735000,19.7665,0,2024-04-29 00:01:51
4734000,1.0633,0,2024-04-29 00:01:51
4740000,7.3256,1,2024-04-29 00:01:51
4741000,0.001,1,2024-04-29 00:01:51
4742000,0.0539,1,2024-04-29 00:01:51
4743000,0.1022,1,2024-04-29 00:01:51
4744000,1.0009,1,2024-04-29 00:01:51
4738000,3.718,0,2024-04-29 00:01:56
4737000,2.1083,0,2024-04-29 00:01:56
4736000,0.4506,0,2024-04-29 00:01:56
4735000,18.8958,0,2024-04-29 00:01:56
4734000,1.0633,0,2024-04-29 00:01:56
4740000,7.3266,1,2024-04-29 00:01:56
4741000,0.001,1,2024-04-29 00:01:56
4742000,0.0539,1,2024-04-29 00:01:56
4743000,0.1022,1,2024-04-29 00:01:56
4744000,1.0009,1,2024-04-29 00:01:56
4738000,1.2182,0,2024-04-29 00:02:02
4737000,18.56,0,2024-04-29 00:02:02
4736000,0.7864,0,2024-04-29 00:02:02
4735000,4.56,0,2024-04-29 00:02:02
4734000,1.0633,0,2024-04-29 00:02:02
4740000,7.3266,1,2024-04-29 00:02:02
4741000,0.001,1,2024-04-29 00:02:02
4742000,0.0539,1,2024-04-29 00:02:02
4743000,3.6622,1,2024-04-29 00:02:02
4744000,1.0009,1,2024-04-29 00:02:02
4740000,2.5982,0,2024-04-29 00:02:07
4739000,3.7834,0,2024-04-29 00:02:07
4738000,3.8954,0,2024-04-29 00:02:07
4737000,19.56,0,2024-04-29 00:02:07
4736000,1.0,0,2024-04-29 00:02:07
4741000,0.001,1,2024-04-29 00:02:07
4742000,0.0539,1,2024-04-29 00:02:07
4744000,1.0009,1,2024-04-29 00:02:07
4745000,1.4818,1,2024-04-29 00:02:07
4746000,0.002,1,2024-04-29 00:02:07
4740000,6.8648,0,2024-04-29 00:02:12
4739000,5.6573,0,2024-04-29 00:02:12
4738000,0.3354,0,2024-04-29 00:02:12
4737000,16.0,0,2024-04-29 00:02:12
4736000,1.0,0,2024-04-29 00:02:12
4741000,0.0,1,2024-04-29 00:02:12
4742000,0.0094,1,2024-04-29 00:02:12
4744000,1.0009,1,2024-04-29 00:02:12
4745000,5.0398,1,2024-04-29 00:02:12
4746000,0.002,1,2024-04-29 00:02:12
4740000,6.312,0,2024-04-29 00:02:17
4739000,1.2169,0,2024-04-29 00:02:17
4738000,0.645,0,2024-04-29 00:02:17
4737000,19.896,0,2024-04-29 00:02:17
4736000,1.0,0,2024-04-29 00:02:17
4741000,0.0,1,2024-04-29 00:02:17
4742000,0.0094,1,2024-04-29 00:02:17
4743000,0.001,1,2024-04-29 00:02:17
4744000,4.5609,1,2024-04-29 00:02:17
4745000,1.4798,1,2024-04-29 00:02:17
4741000,2.1083,0,2024-04-29 00:02:22
4740000,0.875,0,2024-04-29 00:02:22
4739000,1.2169,0,2024-04-29 00:02:22
4738000,3.56,0,2024-04-29 00:02:22
4737000,16.336,0,2024-04-29 00:02:22
4742000,0.0094,1,2024-04-29 00:02:22
4743000,3.561,1,2024-04-29 00:02:22
4744000,1.0009,1,2024-04-29 00:02:22
4745000,5.0398,1,2024-04-29 00:02:22
4746000,0.002,1,2024-04-29 00:02:22
4741000,1.7193,0,2024-04-29 00:02:27
4740000,0.875,0,2024-04-29 00:02:27
4739000,5.8619,0,2024-04-29 00:02:27
4738000,0.3356,0,2024-04-29 00:02:27
4737000,19.56,0,2024-04-29 00:02:27
4742000,0.0094,1,2024-04-29 00:02:27
4743000,0.001,1,2024-04-29 00:02:27
4744000,4.5609,1,2024-04-29 00:02:27
4745000,5.0398,1,2024-04-29 00:02:27
4747000,23.33,1,2024-04-29 00:02:27
4740000,0.875,0,2024-04-29 00:02:32
4739000,1.0964,0,2024-04-29 00:02:32
4737000,15.0,0,2024-04-29 00:02:32
4736000,4.8959,0,2024-04-29 00:02:32
4735000,1.4278,0,2024-04-29 00:02:32
4741000,0.0053,1,2024-04-29 00:02:32
4742000,0.0094,1,2024-04-29 00:02:32
4743000,0.001,1,2024-04-29 00:02:32
4744000,1.0009,1,2024-04-29 00:02:32
4745000,5.0398,1,2024-04-29 00:02:32
4740000,0.875,0,2024-04-29 00:02:37
4739000,3.2029,0,2024-04-29 00:02:37
4737000,3.6104,0,2024-04-29 00:02:37
4736000,18.8955,0,2024-04-29 00:02:37
4735000,1.0046,0,2024-04-29 00:02:37
4741000,0.0053,1,2024-04-29 00:02:37
4742000,3.5694,1,2024-04-29 00:02:37
4743000,3.561,1,2024-04-29 00:02:37
4744000,2.4456,1,2024-04-29 00:02:37
4745000,4.4798,1,2024-04-29 00:02:37
4740000,3.1016,0,2024-04-29 00:02:42
4739000,16.0964,0,2024-04-29 00:02:42
4737000,0.3354,0,2024-04-29 00:02:42
4736000,1.0,0,2024-04-29 00:02:42
4735000,1.0046,0,2024-04-29 00:02:42
4741000,0.0053,1,2024-04-29 00:02:42
4742000,0.0094,1,2024-04-29 00:02:42
4743000,0.001,1,2024-04-29 00:02:42
4744000,1.0009,1,2024-04-29 00:02:42
4745000,5.0398,1,2024-04-29 00:02:42
4740000,3.1016,0,2024-04-29 00:02:47
4739000,1.0964,0,2024-04-29 00:02:47
4738000,0.0583,0,2024-04-29 00:02:47
4737000,16.0,0,2024-04-29 00:02:47
4736000,1.0,0,2024-04-29 00:02:47
4741000,0.0,1,2024-04-29 00:02:47
4742000,0.0094,1,2024-04-29 00:02:47
4743000,0.001,1,2024-04-29 00:02:47
4744000,1.0009,1,2024-04-29 00:02:47
4745000,5.0398,1,2024-04-29 00:02:47
4739000,3.2025,0,2024-04-29 00:02:53
4738000,1.5997,0,2024-04-29 00:02:53
4737000,16.0,0,2024-04-29 00:02:53
4736000,1.0,0,2024-04-29 00:02:53
4735000,1.0046,0,2024-04-29 00:02:53
4740000,1.1721,1,2024-04-29 00:02:53
4741000,0.0,1,2024-04-29 00:02:53
4742000,0.0094,1,2024-04-29 00:02:53
4743000,0.001,1,2024-04-29 00:02:53
4744000,1.0009,1,2024-04-29 00:02:53
4740000,2.2266,0,2024-04-29 00:02:58
4739000,1.0964,0,2024-04-29 00:02:58
4738000,0.0575,0,2024-04-29 00:02:58
4737000,16.3357,0,2024-04-29 00:02:58
4736000,1.0,0,2024-04-29 00:02:58
4741000,0.0,1,2024-04-29 00:02:58
4742000,0.0094,1,2024-04-29 00:02:58
4743000,0.001,1,2024-04-29 00:02:58
4744000,1.0009,1,2024-04-29 00:02:58
4745000,5.0398,1,2024-04-29 00:02:58
4740000,2.2266,0,2024-04-29 00:03:03
4739000,1.0964,0,2024-04-29 00:03:03
4738000,0.3905,0,2024-04-29 00:03:03
4737000,16.0,0,2024-04-29 00:03:03
4736000,1.0,0,2024-04-29 00:03:03
4741000,2.8639,1,2024-04-29 00:03:03
4742000,0.0094,1,2024-04-29 00:03:03
4743000,0.001,1,2024-04-29 00:03:03
4744000,1.0009,1,2024-04-29 00:03:03
4745000,5.0398,1,2024-04-29 00:03:03
4741000,1.2051,0,2024-04-29 00:03:08
4740000,2.1619,0,2024-04-29 00:03:08
4739000,16.0964,0,2024-04-29 00:03:08
4738000,0.3355,0,2024-04-29 00:03:08
4737000,1.0,0,2024-04-29 00:03:08
4744000,0.9123,1,2024-04-29 00:03:08
4745000,1.4798,1,2024-04-29 00:03:08
4746000,0.002,1,2024-04-29 00:03:08
4747000,1.4418,1,2024-04-29 00:03:08
4748000,22.9876,1,2024-04-29 00:03:08
4739000,2.2913,0,2024-04-29 00:03:13
4738000,15.3353,0,2024-04-29 00:03:13
4737000,2.895,0,2024-04-29 00:03:13
4736000,1.4479,0,2024-04-29 00:03:13
4735000,1.0046,0,2024-04-29 00:03:13
4744000,0.9123,1,2024-04-29 00:03:13
4745000,2.9196,1,2024-04-29 00:03:13
4746000,18.6622,1,2024-04-29 00:03:13
4747000,0.0054,1,2024-04-29 00:03:13
4748000,4.4256,1,2024-04-29 00:03:13
